"price","number_of_reviews","host_total_listings_count","bedrooms","minimum_nights","accommodates","price_level"
433,45,4,2,30,6,"High"
392,77,3,1,30,2,"High"
300,60,1,4,3,5,"Medium"
373,224,4,1,30,2,"High"
209,175,2,2,2,6,"Medium"
13,28,3,2,2,2,"Low"
413,689,4,1,1,4,"High"
119,198,1,1,2,2,"Medium"
428,17,6,2,30,4,"High"
312,24,2,1,2,2,"Medium"
412,44,1,1,5,2,"High"
385,194,1,1,2,2,"High"
409,265,2,1,2,2,"High"
165,16,2,2,30,4,"Medium"
78,206,1,2,3,4,"Medium"
391,533,2,1,2,2,"High"
38,109,1,1,2,3,"Low"
70,75,3,1,2,2,"Medium"
38,199,1,1,2,2,"Low"
104,5,1,1,30,2,"Medium"
420,461,2,1,1,3,"High"
429,707,10,1,1,2,"High"
116,131,1,2,4,6,"Medium"
20,151,1,1,2,4,"Low"
63,17,1,2,2,5,"Low"
403,205,1,2,2,3,"High"
428,112,3,2,3,3,"High"
179,386,11,2,2,4,"Medium"
326,327,3,1,1,2,"Medium"
120,268,3,2,2,4,"Medium"
14,237,2,1,2,4,"Low"
16,151,1,1,2,5,"Low"
109,86,2,2,4,4,"Medium"
423,119,1,1,2,2,"High"
52,120,1,2,2,5,"Low"
19,354,1,1,2,2,"Low"
428,171,1,1,5,2,"High"
29,1027,3,1,1,3,"Low"
377,239,2,1,3,2,"High"
44,407,1,1,1,3,"Low"
50,174,2,1,2,4,"Low"
52,21,5,2,1,3,"Low"
410,202,2,1,2,2,"High"
13,9,5,1,2,3,"Low"
387,368,1,1,1,1,"High"
428,466,1,1,2,4,"High"
420,314,2,1,2,4,"High"
64,48,1,2,2,4,"Medium"
383,18,7,1,14,2,"High"
151,319,4,6,1,15,"Medium"
18,55,2,2,30,6,"Low"
54,129,1,1,2,2,"Low"
23,72,7,2,1,4,"Low"
284,372,2,4,2,8,"Medium"
125,11,4,2,2,4,"Medium"
70,353,2,2,2,5,"Medium"
433,569,4,1,4,2,"High"
235,71,4,1,2,2,"Medium"
282,66,4,5,1,10,"Medium"
320,561,4,1,1,2,"Medium"
423,504,2,2,1,4,"High"
408,298,1,1,2,2,"High"
58,360,4,1,2,4,"Low"
91,325,3,4,1,9,"Medium"
23,97,1,1,28,4,"Low"
55,159,1,3,3,4,"Low"
20,367,6,1,2,4,"Low"
342,228,3,1,1,1,"High"
433,598,4,1,1,4,"High"
179,6,23,3,3,5,"Medium"
57,449,1,1,1,4,"Low"
72,117,1,2,3,4,"Medium"
305,65,2,1,5,1,"Medium"
48,21,5,1,90,3,"Low"
19,84,1,1,3,4,"Low"
33,109,2,1,1,2,"Low"
116,19,2,4,1,5,"Medium"
33,515,2,2,1,5,"Low"
52,71,1,2,2,5,"Low"
361,349,3,1,2,2,"High"
387,142,2,1,2,4,"High"
29,911,8,1,1,4,"Low"
31,16,11,2,2,4,"Low"
86,401,1,2,2,4,"Medium"
78,20,1,2,3,4,"Medium"
395,279,1,1,2,2,"High"
143,194,7,2,2,5,"Medium"
26,132,1,1,2,3,"Low"
39,437,1,2,2,5,"Low"
62,176,3,1,1,4,"Low"
361,11,1,1,30,1,"High"
78,12,1,2,2,4,"Medium"
61,164,1,1,2,4,"Low"
377,463,7,1,1,2,"High"
262,52,8,3,4,6,"Medium"
428,74,1,1,2,2,"High"
41,227,1,1,1,2,"Low"
402,83,3,1,3,2,"High"
43,170,1,2,3,4,"Low"
417,130,13,1,27,3,"High"
357,205,1,1,2,4,"High"
72,71,1,1,3,4,"Medium"
67,36,1,2,30,4,"Medium"
412,90,3,1,30,2,"High"
15,237,1,1,4,4,"Low"
27,30,2,2,2,5,"Low"
43,45,2,2,2,3,"Low"
57,12,2,1,2,2,"Low"
378,226,1,1,4,2,"High"
403,255,2,1,2,2,"High"
420,101,1,2,28,4,"High"
15,63,6,1,30,2,"Low"
300,45,4,5,2,10,"Medium"
140,125,3,4,30,6,"Medium"
384,197,5,1,1,2,"High"
413,85,3,1,3,2,"High"
113,42,10,1,5,4,"Medium"
334,23,1,3,2,5,"Medium"
49,119,1,1,3,3,"Low"
384,364,5,1,1,2,"High"
312,119,1,1,2,2,"Medium"
116,100,2,2,4,4,"Medium"
204,29,6,2,2,4,"Medium"
43,409,3,1,1,4,"Low"
378,69,10,1,2,3,"High"
433,14,1,1,2,2,"High"
410,588,1,1,2,4,"High"
395,424,2,1,1,2,"High"
408,7,4,1,30,2,"High"
101,154,3,2,3,5,"Medium"
429,259,8,2,2,4,"High"
48,38,3,1,2,2,"Low"
373,159,2,1,30,2,"High"
342,13,1,1,1,2,"High"
48,312,1,1,1,4,"Low"
46,256,1,1,2,2,"Low"
176,636,1,1,1,2,"Medium"
41,222,1,2,1,4,"Low"
422,34,1,1,2,4,"High"
428,670,1,1,1,4,"High"
117,546,1,1,2,4,"Medium"
48,173,4,2,3,3,"Low"
27,306,3,1,2,2,"Low"
401,673,1,1,2,3,"High"
277,82,2,5,2,12,"Medium"
428,81,1,1,2,2,"High"
254,264,1,3,3,6,"Medium"
403,382,1,1,2,2,"High"
402,232,6,1,30,2,"High"
160,14,2,1,4,2,"Medium"
40,197,2,1,1,4,"Low"
391,314,6,1,1,4,"High"
140,121,5,3,30,8,"Medium"
387,50,2,1,2,2,"High"
33,15,3,1,30,2,"Low"
375,505,2,1,1,2,"High"
190,204,4,2,1,5,"Medium"
31,443,4,1,1,2,"Low"
41,215,3,2,1,5,"Low"
19,393,1,1,2,2,"Low"
165,3,5,2,5,2,"Medium"
31,108,2,1,2,1,"Low"
211,11,2,4,4,10,"Medium"
23,370,2,1,1,2,"Low"
428,25,1,1,30,4,"High"
18,478,2,1,1,2,"Low"
408,419,2,1,2,4,"High"
20,35,2,2,1,4,"Low"
430,17,3,1,30,4,"High"
429,272,1,2,2,4,"High"
417,309,1,1,3,2,"High"
53,768,7,1,1,2,"Low"
414,212,6,1,30,4,"High"
13,31,5,2,30,4,"Low"
420,164,3,1,6,2,"High"
384,51,2,1,2,2,"High"
28,419,2,1,1,4,"Low"
18,143,1,1,2,2,"Low"
17,209,2,2,5,4,"Low"
410,191,1,1,4,3,"High"
420,327,5,1,1,2,"High"
189,97,2,3,2,5,"Medium"
381,25,3,1,3,1,"High"
39,153,1,1,2,3,"Low"
19,40,1,1,31,2,"Low"
13,8,4,1,2,2,"Low"
52,113,1,2,7,6,"Low"
40,469,3,1,3,4,"Low"
369,462,2,1,2,4,"High"
103,5,11,1,31,1,"Medium"
413,114,1,1,2,3,"High"
398,352,7,1,3,2,"High"
55,23,1,2,2,6,"Low"
48,300,2,2,2,4,"Low"
75,60,1,2,3,4,"Medium"
